Date,Month,Season,Temperature_C,Weather_Condition,Gender,Brand,Product Name,Fabric,Price_INR,Description
2024-01-01,January,Winter,16.4,Cold,Men,Pantaloons,Sustainable Velvet Tweed Blazer,Velvet,4095,A sustainable tweed blazer crafted from velvet. Perfect for the winter weather in India. Sourced from Jaipur.
2024-01-02,January,Winter,16.7,Chilly,Men,Peter England,Handcrafted Wool Padded Bomber Jacket,Wool,13045,A handcrafted padded bomber jacket crafted from wool. Perfect for the winter weather in India. Sourced from Mumbai.
2024-01-03,January,Winter,16.7,Foggy,Men,Pantaloons,Vintage Velvet Velvet Sherwani Set,Velvet,8712,A vintage velvet sherwani set crafted from velvet. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-04,January,Winter,6.6,Foggy,Unisex,Pantaloons,Sustainable Velvet Heavy Woolen Trench Coat,Velvet,7493,A sustainable heavy woolen trench coat crafted from velvet. Perfect for the winter weather in India. Sourced from Mysore.
2024-01-05,January,Winter,12.8,Cold,Women,Westside,Handcrafted Wool Kashmiri Embroidered Phiran,Wool,12203,A handcrafted kashmiri embroidered phiran crafted from wool. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-06,January,Winter,13.2,Cold,Women,Biba,Vintage Velvet Heavy Woolen Trench Coat,Velvet,12660,A vintage heavy woolen trench coat crafted from velvet. Perfect for the winter weather in India. Sourced from Ludhiana.
2024-01-07,January,Winter,13.7,Chilly,Unisex,Raymond,Classic Velvet Heavy Woolen Trench Coat,Velvet,1689,A classic heavy woolen trench coat crafted from velvet. Perfect for the winter weather in India. Sourced from Banaras.
2024-01-08,January,Winter,3.8,Foggy,Men,W for Woman,Bohemian Velvet Fleece Lined Hoodie,Velvet,10229,A bohemian fleece lined hoodie crafted from velvet. Perfect for the winter weather in India. Sourced from Surat.
2024-01-09,January,Winter,15.7,Chilly,Men,Louis Philippe,Bohemian Wool Kashmiri Embroidered Phiran,Wool,14048,A bohemian kashmiri embroidered phiran crafted from wool. Perfect for the winter weather in India. Sourced from Ludhiana.
2024-01-10,January,Winter,10.1,Foggy,Men,Peter England,Classic Velvet Merino Wool Cardigan,Velvet,1186,A classic merino wool cardigan crafted from velvet. Perfect for the winter weather in India. Sourced from Mumbai.
2024-01-11,January,Winter,10.6,Cold,Men,Allen Solly,Modern Velvet Tweed Blazer,Velvet,8001,A modern tweed blazer crafted from velvet. Perfect for the winter weather in India. Sourced from Kolkata.
2024-01-12,January,Winter,11.7,Foggy,Unisex,Westside,Premium Wool Fleece Lined Hoodie,Wool,11596,A premium fleece lined hoodie crafted from wool. Perfect for the winter weather in India. Sourced from Jaipur.
2024-01-13,January,Winter,19.3,Foggy,Women,Biba,Premium Velvet Padded Bomber Jacket,Velvet,3933,A premium padded bomber jacket crafted from velvet. Perfect for the winter weather in India. Sourced from Jaipur.
2024-01-14,January,Winter,11.0,Foggy,Unisex,Westside,Vintage Wool Padded Bomber Jacket,Wool,1570,A vintage padded bomber jacket crafted from wool. Perfect for the winter weather in India. Sourced from Ludhiana.
2024-01-15,January,Winter,8.2,Foggy,Men,Westside,Designer Wool Padded Bomber Jacket,Wool,3580,A designer padded bomber jacket crafted from wool. Perfect for the winter weather in India. Sourced from Banaras.
2024-01-16,January,Winter,11.6,Chilly,Men,Biba,Premium Wool Handwoven Shawl,Wool,6668,A premium handwoven shawl crafted from wool. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-17,January,Winter,14.9,Chilly,Men,W for Woman,Designer Velvet Velvet Sherwani Set,Velvet,10071,A designer velvet sherwani set crafted from velvet. Perfect for the winter weather in India. Sourced from Surat.
2024-01-18,January,Winter,18.9,Chilly,Women,Allen Solly,Bohemian Velvet Turtleneck Thermal Sweater,Velvet,10007,A bohemian turtleneck thermal sweater crafted from velvet. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-19,January,Winter,15.4,Chilly,Unisex,W for Woman,Sustainable Velvet Tweed Blazer,Velvet,10148,A sustainable tweed blazer crafted from velvet. Perfect for the winter weather in India. Sourced from Mumbai.
2024-01-20,January,Winter,7.7,Chilly,Men,Pantaloons,Handcrafted Velvet Velvet Sherwani Set,Velvet,2456,A handcrafted velvet sherwani set crafted from velvet. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-21,January,Winter,20.2,Foggy,Men,Westside,Premium Wool Heavy Woolen Trench Coat,Wool,3055,A premium heavy woolen trench coat crafted from wool. Perfect for the winter weather in India. Sourced from Banaras.
2024-01-22,January,Winter,11.7,Chilly,Men,Raymond,Designer Wool Turtleneck Thermal Sweater,Wool,2626,A designer turtleneck thermal sweater crafted from wool. Perfect for the winter weather in India. Sourced from Surat.
2024-01-23,January,Winter,4.7,Cold,Women,Pantaloons,Classic Wool Padded Bomber Jacket,Wool,10620,A classic padded bomber jacket crafted from wool. Perfect for the winter weather in India. Sourced from Mumbai.
2024-01-24,January,Winter,17.3,Foggy,Men,FabIndia,Designer Velvet Heavy Woolen Trench Coat,Velvet,5942,A designer heavy woolen trench coat crafted from velvet. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-25,January,Winter,10.4,Foggy,Unisex,Manyavar,Premium Wool Handwoven Shawl,Wool,7152,A premium handwoven shawl crafted from wool. Perfect for the winter weather in India. Sourced from Banaras.
